date,asset,open,high,low,close,adj_close,volume,source,asset_class,description
2015-01-02,SPY,430.127907,431.804794,428.325031,430.001425,430.001425,8367081,sample,ETF,US equity market
2015-01-05,SPY,429.773686,431.846542,428.161735,430.232868,430.23294,6613395,sample,ETF,US equity market
2015-01-06,SPY,430.407658,435.150688,428.508108,433.238644,433.238789,12761140,sample,ETF,US equity market
2015-01-07,SPY,434.335337,470.580914,422.474141,458.071511,458.07174,5551020,sample,ETF,US equity market
2015-01-08,SPY,455.606049,463.203012,453.310168,460.880552,460.880859,5153498,sample,ETF,US equity market
2015-01-09,SPY,458.97802,475.512284,453.668962,470.074867,470.075258,4445796,sample,ETF,US equity market
2015-01-12,SPY,469.740147,474.984904,457.641729,462.809099,462.809561,6832688,sample,ETF,US equity market
2015-01-13,SPY,464.266526,479.149847,458.524798,473.296444,473.296996,5993931,sample,ETF,US equity market
2015-01-14,SPY,470.172884,476.889131,454.061425,460.64152,460.642134,5038077,sample,ETF,US equity market
2015-01-15,SPY,461.184964,470.895537,456.10811,465.768229,465.768927,6390082,sample,ETF,US equity market
2015-01-16,SPY,465.580045,478.075452,432.660465,444.592603,444.593344,8354797,sample,ETF,US equity market
2015-01-19,SPY,442.055727,450.130137,437.682729,445.720882,445.721698,10537214,sample,ETF,US equity market
2015-01-20,SPY,444.263868,448.378496,439.644044,443.75395,443.754836,4370026,sample,ETF,US equity market
2015-01-21,SPY,443.361557,462.192551,435.619425,454.260105,454.261087,5196496,sample,ETF,US equity market
2015-01-22,SPY,451.65079,455.504466,445.817759,449.6544,449.655447,15782792,sample,ETF,US equity market
2015-01-23,SPY,447.937008,457.163584,424.704002,433.636007,433.637089,7452442,sample,ETF,US equity market
2015-01-26,SPY,435.697204,439.381255,429.680285,433.344442,433.345594,8786607,sample,ETF,US equity market
2015-01-27,SPY,433.50224,438.074821,427.977432,432.539862,432.541084,11020572,sample,ETF,US equity market
2015-01-28,SPY,434.247446,440.666423,419.61953,425.915344,425.916617,6189995,sample,ETF,US equity market
2015-01-29,SPY,427.139607,430.536456,424.043089,427.437776,427.439124,6200790,sample,ETF,US equity market
