model,asset_count,avg_qlike,avg_mae,avg_rmse,avg_rank,top_two_share,improvement_vs_rolling_21,improvement_vs_ewma,improvement_vs_garch
har_rolling_update,10,0.18132832860742798,0.01963175309073371,0.029380260189693315,1.5,0.8,0.006258066438039375,0.04755354573407359,0.0831072652521441
gjr_rolling_update,10,0.18136498123504233,0.01885905331613272,0.029320394540816863,2.1,0.7,0.006166238480042993,0.04746612271853405,0.08302512637573797
garch_rolling_update,10,0.18137348477594417,0.018674653252409894,0.029348675058436486,2.6,0.4,0.006147225739672935,0.04744818948319176,0.08300816482962567
ewma_rolling_update,10,0.18141924737657084,0.018786172347006098,0.029323647165246575,3.8,0.1,0.006070429194109664,0.04737354822311785,0.08293427622822953
rolling_21,10,0.1841851295904621,0.0245172249534455,0.04045564642790716,5.4,0.0,0.0,0.04157797537787525,0.07739776669112063
previous_day_rv,10,0.1841851295904621,0.0245172249534455,0.04045564642790716,5.4,0.0,0.0,0.04157797537787525,0.07739776669112063
simple_average_ensemble,10,0.18488294270840835,0.03150236327098577,0.04361437748778507,6.8,0.0,-0.00165292716381418,0.03999902371843042,0.0759120158285175
validation_weighted_ensemble,10,0.18488294270840835,0.03150236327098577,0.043614377487785065,6.8,0.0,-0.00165292716381418,0.03999902371843042,0.0759120158285175
random_forest,10,0.1907185021498085,0.039906488172524936,0.06595670282444588,9.2,0.0,-0.01738840363630899,0.025089573597202618,0.0615418876760375
hist_gradient_boosting,10,0.19239040655164932,0.04406376914374895,0.07047868951231208,10.2,0.0,-0.021492752753257387,0.021189188856389353,0.05780377554460055
ewma_tuned,10,0.19912882787619307,0.056609789621497056,0.07462650283058059,10.8,0.0,-0.03261397716566339,0.010429703920665535,0.04760211797206567
ewma_094,10,0.20469664824389255,0.06142049964104981,0.0795699604601732,11.8,0.0,-0.04347480938644258,0.0,0.037547632268474435
gjr_garch,10,0.21825249552559267,0.07889273010634891,0.10139130849617446,13.1,0.0,-0.07324672235225174,-0.028550182307538342,0.010606503345361626
garch_11,10,0.22268325374699818,0.0833549687683384,0.1077537930008503,13.5,0.0,-0.08530104817292714,-0.039845132569955935,0.0
rolling_63,10,0.2759904214850791,0.12476760149664576,0.15950599484593248,15.0,0.0,-0.19426838990594886,-0.14429661815149025,-0.10083520956508633
