asset,top_decile_capture,false_high_flag_rate,precision,recall,f1_score,false_positive_rate,high_regime_share,median_regime_days,transition_count
AAPL,0.8210526315789474,0.5542857142857143,0.44571428571428573,0.8210526315789474,0.5777777777777778,0.11384976525821597,0.18479408658922913,8.0,195
GLD,0.8070175438596491,0.5943562610229277,0.4056437389770723,0.8070175438596491,0.5399061032863849,0.13184663536776212,0.19957761351636746,5.0,258
IWM,0.624561403508772,0.6447105788423154,0.35528942115768464,0.624561403508772,0.45292620865139954,0.12636932707355242,0.17634635691657866,5.0,235
JPM,0.7087719298245614,0.5968063872255489,0.4031936127744511,0.7087719298245614,0.5139949109414758,0.11697965571205007,0.17634635691657866,5.0,196
MSFT,0.712280701754386,0.5662393162393162,0.4337606837606838,0.712280701754386,0.5391766268260292,0.10367762128325508,0.16473072861668428,6.0,176
NVDA,0.968421052631579,0.4491017964071856,0.5508982035928144,0.968421052631579,0.7022900763358779,0.0880281690140845,0.17634635691657866,7.0,176
QQQ,0.7859649122807018,0.5675675675675675,0.43243243243243246,0.7859649122807018,0.5579078455790785,0.11502347417840375,0.1823301654347061,7.5,171
SPY,0.712280701754386,0.5873983739837398,0.41260162601626016,0.712280701754386,0.5225225225225225,0.11306729264475743,0.17317845828933473,9.0,152
TLT,0.6666666666666666,0.6008403361344538,0.39915966386554624,0.6666666666666666,0.49934296977660975,0.11189358372456965,0.16754663850756776,4.0,260
USO,0.7368421052631579,0.4927536231884058,0.5072463768115942,0.7368421052631579,0.6008583690987124,0.07981220657276995,0.1457233368532207,4.0,216
